coordinacion.id,coordinacion.nombre,coordinacion.decanato
1,Tecnología e Ingeniería Eléctrica,1
2,Ingeniería Mecánica,1
3,Ingeniería Química,1
4,Tecnología e Ingeniería Electrónica,1
5,Ingeniería de Materiales,1
6,Ingeniería de Computación,1
7,Ingeniería Geofísica,1
8,Organización Empresarial e Ingeniería de Producción,1
9,"Mecánica, Mantenimiento Aeronáutico e Ingeniería de Mantenimiento",1
10,Coordinación de Ing. en Telecomunicaciones,1
11,Coordinación de Química,1
12,Coordinación de Matemáticas,1
13,Coordinación de Física,1
14,Coordinación de Biología,1
15,Arquitectura,1
16,Estudios Urbanos,1
17,Comercio Exterior y Licenciatura en  Comercio Internacional,1
18,"Turismo, Hotelería y Hospitalidad",1
19,Coordinación de Tecnología Eléctrica y Electrónica,2
20,Coordinación de Tecnología e Ing. Eléctrica,2
21,Coordinación de Tecnología e Ing. Electrónica,2
22,"Coordinación de Tecnología Mecánica, Mantenimiento Aeronáutico e Ing. de Mantenimiento",2
23,"Coordinación de Tecnología Mecánica, Mantenimiento Aeronáutico e Ing. de Mantenimiento",2
24,"Coordinación de Turismo, Hotelería y Hospitalidad",2
25,Coordinación de Administración del Transporte y Organización Empresarial,2
26,Coordinación de Estudios Gerenciales y Económicos,2
27,Coordinación de Comercio Exterior y Lic. Comercio Internacional,2
28,Coordinación de Administración Aduanera,2
29,Postgrado,3
