127.0.0.1, 2017-01-26 09:39:33, GET, /, HTTP/1.1, 303, 0.000643
127.0.0.1, 2017-01-26 09:39:34, GET, /welcome/default/index, HTTP/1.1, 200, 1.113550
127.0.0.1, 2017-01-26 09:39:34, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000702
127.0.0.1, 2017-01-26 09:39:34, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000523
127.0.0.1, 2017-01-26 09:39:34, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000877
127.0.0.1, 2017-01-26 09:39:34, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000593
127.0.0.1, 2017-01-26 09:39:34, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.001575
127.0.0.1, 2017-01-26 09:39:34, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000309
127.0.0.1, 2017-01-26 09:39:34, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000358
127.0.0.1, 2017-01-26 09:39:34, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000346
127.0.0.1, 2017-01-26 09:39:34, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000360
127.0.0.1, 2017-01-26 09:39:34, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.000372
127.0.0.1, 2017-01-26 09:39:35, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.000475
127.0.0.1, 2017-01-26 09:39:35, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.000488
127.0.0.1, 2017-01-26 09:39:35, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.000423
127.0.0.1, 2017-01-26 09:39:35, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000828
127.0.0.1, 2017-01-26 09:39:35, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.001015
127.0.0.1, 2017-01-26 09:39:35, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000483
127.0.0.1, 2017-01-26 09:39:42, GET, /admin/default/site, HTTP/1.1, 303, 0.756283
127.0.0.1, 2017-01-26 09:39:42, GET, /admin/default/index, HTTP/1.1, 200, 0.101140
127.0.0.1, 2017-01-26 09:39:42, GET, /admin/static/_2.14.6/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.001316
127.0.0.1, 2017-01-26 09:39:42, GET, /admin/static/_2.14.6/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.000548
127.0.0.1, 2017-01-26 09:39:42, GET, /admin/static/_2.14.6/js/calendar.js, HTTP/1.1, 200, 0.013480
127.0.0.1, 2017-01-26 09:39:42, GET, /admin/static/_2.14.6/js/jquery.js, HTTP/1.1, 200, 0.014862
127.0.0.1, 2017-01-26 09:39:42, GET, /admin/static/_2.14.6/js/web2py.js, HTTP/1.1, 200, 0.013309
127.0.0.1, 2017-01-26 09:39:42, GET, /admin/static/_2.14.6/css/calendar.css, HTTP/1.1, 200, 0.014810
127.0.0.1, 2017-01-26 09:39:42, GET, /admin/static/_2.14.6/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.000517
127.0.0.1, 2017-01-26 09:39:42, GET, /admin/static/_2.14.6/css/bootstrap.min.css, HTTP/1.1, 200, 0.000410
127.0.0.1, 2017-01-26 09:39:42, GET, /admin/static/_2.14.6/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.000440
127.0.0.1, 2017-01-26 09:39:42, GET, /admin/static/_2.14.6/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000422
127.0.0.1, 2017-01-26 09:39:42, GET, /admin/static/_2.14.6/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000480
127.0.0.1, 2017-01-26 09:39:42, GET, /admin/static/_2.14.6/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.000568
127.0.0.1, 2017-01-26 09:39:42, GET, /admin/static/_2.14.6/js/bootstrap.min.js, HTTP/1.1, 200, 0.000454
127.0.0.1, 2017-01-26 09:39:42, GET, /admin/static/_2.14.6/images/questions.png, HTTP/1.1, 200, 0.000581
127.0.0.1, 2017-01-26 09:39:42, GET, /favicon.ico, HTTP/1.1, 400, 0.000295
127.0.0.1, 2017-01-26 09:39:46, POST, /admin/default/index, HTTP/1.1, 303, 0.032895
127.0.0.1, 2017-01-26 09:39:46, GET, /admin/default/site, HTTP/1.1, 200, 0.075418
127.0.0.1, 2017-01-26 09:39:46, GET, /admin/static/_2.14.6/images/folder.png, HTTP/1.1, 200, 0.000606
127.0.0.1, 2017-01-26 09:39:46, GET, /admin/static/_2.14.6/images/folder_locked.png, HTTP/1.1, 200, 0.001329
127.0.0.1, 2017-01-26 09:39:46, GET, /admin/static/_2.14.6/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000305
127.0.0.1, 2017-01-26 09:39:46, POST, /admin/default/check_version, HTTP/1.1, 200, 0.102084
127.0.0.1, 2017-01-26 09:39:46, GET, /favicon.ico, HTTP/1.1, 400, 0.000238
127.0.0.1, 2017-01-26 09:40:09, GET, /examples/default/index, HTTP/1.1, 200, 0.075275
127.0.0.1, 2017-01-26 09:40:09, GET, /examples/static/css/examples.css, HTTP/1.1, 200, 0.000352
127.0.0.1, 2017-01-26 09:40:09, GET, /examples/static/css/web2py.css, HTTP/1.1, 200, 0.000727
127.0.0.1, 2017-01-26 09:40:09, GET, /examples/static/js/calendar.js, HTTP/1.1, 200, 0.001124
127.0.0.1, 2017-01-26 09:40:09, GET, /examples/static/css/stupid.css, HTTP/1.1, 200, 0.002441
127.0.0.1, 2017-01-26 09:40:09, GET, /examples/static/js/jquery.js, HTTP/1.1, 200, 0.000431
127.0.0.1, 2017-01-26 09:40:09, GET, /examples/static/css/calendar.css, HTTP/1.1, 200, 0.003272
